Unique Sample Identifier (YYMMDD-XXXXX),Site Code,Day,Sample Site,Trip (YYYY-WW) - WW= Week #,Year/ Month,Month/Day,Sample Date,Season,Sample Date,Sample Time,Weather (1=sunny 2-cloudy 3=raining),Tidal Conditions 1=high 2=medium (ebb) 3=medium (flood) 4=low,"Current Direction (1=still, 2=L to R, 3=R to L, 4=towards, 5=Away)",Wind Speed,Rainfall 24 hrs (inches),Rainfall 3 days (inches),Rainfall Past Week (inches),Water Temp C,DO%,DO mg/L,Salinity ppt,Turb NTU,Chl RFU,Chl ug/L,MPN,Exceedance,
210119-SWP,SWP,Tuesday,Sweeting Park,2021,21-01,19-Jan,21-01-19,Dry,1/19/2021,11:32 AM,2,3,1,E 11,,,0,20.28,55.3,4.97,0.87,3.52,0.81,3.22,432,Fail,"Very still, 2 ducks, suspended sediment"
210119-TR,TR,Tuesday,Tarpon River,2021,21-01,19-Jan,21-01-19,Dry,1/19/2021,10:35 AM,1,3,2,N 6,,,0,19.9,55.2,4.93,3.69,0.83,0.92,3.67,63,,"Algae, floating vegetation"
210126-ABP,ABP,Tuesday,Annie Beck Park,2021,21-01,26-Jan,21-01-26,Dry,1/26/2021,8:57 AM,1,2,3,SSW 3,0,0.03,0.03,22.81,73.7,5.7,18.36,0.76,0.46,1.83,52,,"Film on surface, lots of floating leaves and twigs"
210126-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-01,26-Jan,21-01-26,Dry,1/26/2021,10:52 AM,1,2,2,S 12,0,0,0,22.9,70.5,5.81,7.25,1.46,0.85,3.4,146,Fail,"Plastic debris, brown water, floating vegetation, boat traffic, water is pretty still"
210126-HC,HC,Tuesday,Himmarshee Canal,2021,21-01,26-Jan,21-01-26,Dry,1/26/2021,9:24 AM,1,2,2,S 9,0,0,0,22.73,58.2,4.67,12.61,1.25,0.6,2.83,379,Fail,"Brown, murky, some floating leaves"
210126-LS,LS,Tuesday,Lake Sylvia,2021,21-01,26-Jan,21-01-26,Dry,1/26/2021,9:47 AM,1,2,2,S 9,0,0,0,23.44,95.2,6.83,29.6,0.7,0.35,1.42,5,,"Some floating vegetation, low tide, clear water"
210126-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-01,26-Jan,21-01-26,Dry,1/26/2021,7:54 AM,1,2,1,S 5,0,0.03,0.03,22.71,79,6.02,21.47,0.66,0.77,3.09,20,,"Some floating vegetation, some foam, very calm"
210126-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-01,26-Jan,21-01-26,Dry,1/26/2021,7:31 AM,1,2,1,S 5,0,0.03,0.03,23.12,80.4,6.04,22.99,0.84,0.34,1.35,5,,"Water slightly brown, fish jump"
210126-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-01,26-Jan,21-01-26,Dry,1/26/2021,8:30 AM,1,2,2,SSW 3,0,0.03,0.03,22.72,82,6.26,21.16,0.42,0.47,1.88,20,,"Fish jumps, nothing noticeable in the water"
210126-SBR,SBR,Tuesday,Sandbar,2021,21-01,26-Jan,21-01-26,Dry,1/26/2021,10:11 AM,1,2,2,S 12,0,0,0,23.34,100.3,7.38,25.53,0.95,0.49,1.98,243,Fail,"Plastic debris, sea foam, a lot of floating vegetation near the wall, clear water, medium tide"
210126-SWP,SWP,Tuesday,Sweeting Park,2021,21-01,26-Jan,21-01-26,Dry,1/26/2021,11:41 AM,1,2,3,S 10,0,0,0,23.77,56.4,4.75,0.59,7.82,3.92,15.66,663,Fail,"Floating vegetation, low tide, brown water, plastic debris, floating sheen (not sure what, see video), iguanas in water"
210126-TR,TR,Tuesday,Tarpon River,2021,21-01,26-Jan,21-01-26,Dry,1/26/2021,10:30 AM,2,2,2,S 12,0,0,0,22.96,72.5,5.72,14.68,1.79,0.98,3.92,96,Fail,"Algae, construction on house, plastic debris, floating vegetation, low tide, brown water"
2102016-ABP,ABP,Tuesday,Annie Beck Park,2021,21-02,16-Feb,21-02-16,Dry,2/16/2021,9:30 AM,3,3,3,SSW 3,0.3,0.4,0.43,25.62,78.7,5.65,22.72,0.9,0.26,1.04,75,Fail,"Faster flow than normal, no debris on surface, raining"
2102016-SBR,SBR,Tuesday,Sandbar,2021,21-02,16-Feb,21-02-16,Dry,2/16/2021,9:21 AM,2,3,3,S 11,0.18,0.18,0.18,25.36,94.8,6.52,31.17,1.14,0.35,1.38,20,,"Choppy, sea foam, plastic debris, floating vegetation"
210202-ABP,ABP,Tuesday,Annie Beck Park,2021,21-02,2-Feb,21-02-02,Dry,2/2/2021,9:51 AM,2,3,2,NW 12,,,0,21.15,83.8,6.41,25.53,1.03,0.15,0.6,20,,"Little to no debris in the water, tiny fish"
210202-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-02,2-Feb,21-02-02,Dry,2/2/2021,10:28 AM,2,3,2,WNW 18 Gusts 26,0,0,0,20.71,81.3,6.78,12.25,1.12,1.05,4.21,134,Fail,"Small sea foam, boat traffic, very small wave action (less than 6 inches), brown water"
210202-HC,HC,Tuesday,Himmarshee Canal,2021,21-02,2-Feb,21-02-02,Dry,2/2/2021,8:08 AM,2,3,2,WNW 10,0,0,0,20.13,76.9,6.25,18.67,1.04,0.34,1.34,185,Fail,"Water low, stronger flow than normal, fragmented film on surface, large fish swimming"
210202-LS,LS,Tuesday,Lake Sylvia,2021,21-02,2-Feb,21-02-02,Dry,2/2/2021,9:32 AM,2,3,3,NW 12 Gusts 19,0,0,0,21.62,95.6,6.92,33.82,4.94,0,0,20,,"High tide, choppy, small sea foam, clear water"
210202-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-02,2-Feb,21-02-02,Dry,2/2/2021,9:26 AM,2,3,2,NW 12,,,0,20.36,92.1,7.08,25.7,0.45,0.12,0.47,5,,"Sea foam, water clear"
210202-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-02,2-Feb,21-02-02,Dry,2/2/2021,8:32 AM,1,3,3,WNW 10,,,0,20.52,85.8,6.59,26.88,0.79,0.19,0.77,63,,"Grass clippings on surface, water, very low"
210202-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-02,2-Feb,21-02-02,Dry,2/2/2021,8:55 AM,2,3,4,WNW 10,,,0,20.55,87.3,6.78,24.95,0.59,0.28,1.14,63,,"Very choppy, lots of foam"
210202-SBR,SBR,Tuesday,Sandbar,2021,21-02,2-Feb,21-02-02,Dry,2/2/2021,9:54 AM,2,3,2,NW 12 Gusts 19,0,0,0,21.49,102.2,7.43,33.22,0.55,0.04,0.16,5,,"High tide, small floating vegetation, clear water, a little choppy"
210202-SWP,SWP,Tuesday,Sweeting Park,2021,21-02,2-Feb,21-02-02,Dry,2/2/2021,11:00 AM,2,3,3,WNW 18 Gusts 34,0,0,0,19.02,79.2,7,8.05,2.56,0.6,2.38,546,Fail,"Plastic debris, floating vegetation, brown water"
210202-TR,TR,Tuesday,Tarpon River,2021,21-02,2-Feb,21-02-02,Dry,2/2/2021,10:08 AM,2,3,3,WNW 18 Gusts 26,0,0,0,19.9,85.3,6.97,18.4,0.74,0.5,1.99,109,Fail,"Floating vegetation, lots of movement on the main river (not where sample is), green tinted water, high tide"
210209-ABP,ABP,Tuesday,Annie Beck Park,2021,21-02,9-Feb,21-02-09,Dry,2/9/2021,9:55 AM,1,2,3,S 5,0.18,0.69,0.69,23.27,80.8,6.06,22.34,0.88,0.32,1.28,10,,"Lots of surface grime- leaves, sticks, foam; low tide, medium-sized fish swimming"
210209-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-02,9-Feb,21-02-09,Dry,2/9/2021,10:34 AM,1,2,2,S 12,0,1.21,1.21,22.94,81.7,6.59,10.86,6.85,0.7,2.78,41,,"A lot of floating vegetation and plastic debris, no wave action, low tide"
210209-HC,HC,Tuesday,Himmarshee Canal,2021,21-02,9-Feb,21-02-09,Dry,2/9/2021,8:17 AM,1,2,3,,0,1.21,1.21,22.5,67.7,5.44,12.81,1.47,0.58,2.34,471,Fail,"Floating leaves and filmy surface, brown"
210209-LS,LS,Tuesday,Lake Sylvia,2021,21-02,9-Feb,21-02-09,Dry,2/9/2021,9:35 AM,1,2,3,S 5,0,1.21,1.21,23.11,96.9,6.86,33.02,6.9,0.17,0.7,10,,"Clear, nothing floating, a lot of current movement, but no waves, low tide"
210209-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-02,9-Feb,21-02-09,Dry,2/9/2021,9:26 AM,1,2,3,SE 5,0.18,0.69,0.69,22.78,88.4,6.6,24.81,0.67,0.3,1.21,20,,"Floating leaves and organic debris, some foam, good water quality"
210209-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-02,9-Feb,21-02-09,Dry,2/9/2021,8:36 AM,1,2,2,,0.18,0.69,0.69,23.07,90.3,6.6,27.55,0.39,0.17,0.69,426,Fail,"filmy layer on surface, good clarity"
210209-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-02,9-Feb,21-02-09,Dry,2/9/2021,9:05 AM,1,2,3,SE 5,0.18,0.69,0.69,23.01,87.5,6.38,28.23,0.7,0.23,0.93,63,,"Faster flow than normal, floating leaves"
210209-SBR,SBR,Tuesday,Sandbar,2021,21-02,9-Feb,21-02-09,Dry,2/9/2021,9:55 AM,1,2,3,S 5,0,1.21,1.21,23.67,109,7.38,29.21,3.77,0.33,1.32,30,,"Floating vegetation and plastic debris, choppy waves, boat activity, low tide"
210209-SWP,SWP,Tuesday,Sweeting Park,2021,21-02,9-Feb,21-02-09,Dry,2/9/2021,10:55 AM,1,2,3,SW 12,0,1.21,1.21,23.66,74.2,6.09,5.48,3.06,2,7.99,318,Fail,"Floating vegetation, low tide, weird sheen again, no waves, brown water"
210209-TR,TR,Tuesday,Tarpon River,2021,21-02,9-Feb,21-02-09,Dry,2/9/2021,10:11 AM,1,2,2,S 12,0,1.21,1.21,22.66,70.7,5.52,17.35,5.14,0.84,3.57,85,Fail,"Floating vegetation, coconuts, small fish, low tide, feathers, very slow moving"
210216-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-02,16-Feb,21-02-16,Dry,2/16/2021,9:47 AM,2,3,3,SSW 13 Gusts 18,0.18,0.18,0.18,25.48,73.2,5.75,7.3,2.14,0.62,2.48,97,Fail,"Floating vegetation, boat activity, brown water"
210216-HC,HC,Tuesday,Himmarshee Canal,2021,21-02,16-Feb,21-02-16,Dry,2/16/2021,7:54 AM,2,3,3,S 9,0.18,0.18,0.18,25.35,66.9,5.03,15.41,0.88,0.43,1.74,399,Fail,"Faster flow than usual, some fish swimming, leaves and surface debris"
210216-LS,LS,Tuesday,Lake Sylvia,2021,21-02,16-Feb,21-02-16,Dry,2/16/2021,9:02 AM,2,3,3,S 11,0.18,0.18,0.18,24.98,98.5,6.74,33.29,1.98,0.1,0.41,10,,"Slow moving, clear, no wave action"
210216-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-02,16-Feb,21-02-16,Dry,2/16/2021,9:08 AM,2,3,2,S 11,0.3,0.4,0.43,25.99,89.3,6.22,27.28,1.13,0.13,0.52,20,,"Some surface grime, good water clarity"
210216-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-02,16-Feb,21-02-16,Dry,2/16/2021,8:09 AM,2,3,1,S 10,0.3,0.4,0.43,25.65,84.2,5.84,28.83,1.27,0.17,0.68,10,,"Two swarms of insects on surface, no floating debris"
210216-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-02,16-Feb,21-02-16,Dry,2/16/2021,8:38 AM,2,3,2,S 10,0.3,0.4,0.43,25.71,87.8,6.07,29.05,0.66,0.16,0.66,10,,"Little to no surface debris, manatee, fish, jumping"
210216-SWP,SWP,Tuesday,Sweeting Park,2021,21-02,16-Feb,21-02-16,Dry,2/16/2021,10:06 AM,2,3,2,S 11 Gusts 27,0.18,0.18,0.18,25.9,80.5,6.37,4.66,3.28,2.43,9.71,161,Fail,"A lot of ducks, jumping fish, no visible film, floating vegetation"
210216-TR,TR,Tuesday,Tarpon River,2021,21-02,16-Feb,21-02-16,Dry,2/16/2021,9:30 AM,3,3,3,S 11,0.18,0.18,0.18,25.57,81.9,6.13,15.7,3.34,0.64,2.57,158,Fail,"Algae, floating vegetation, very slow moving"
210223-ABP,ABP,Tuesday,Annie Beck Park,2021,21-02,23-Feb,21-02-23,Dry,2/23/2021,9:34 AM,2,2,2,SSW 5,0.05,0.05,1.3,24.19,78.2,5.93,17.77,0.46,0.45,0.99,231,Fail,"Lots of floating leaves and palms, very slow flow, low water level"
210223-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-02,23-Feb,21-02-23,Dry,2/23/2021,10:29 AM,2,2,3,WNW 8,,0,1.26,24.24,75.9,6.23,3.63,1.02,0.55,2.2,63,,"Algae growth on rocks, floaitng vegetation, some floating trash"
210223-HC,HC,Tuesday,Himmarshee Canal,2021,21-02,23-Feb,21-02-23,Dry,2/23/2021,8:03 AM,1,2,1,SSW 5,,0,1.26,23.93,58.8,4.66,10.54,1.19,0.58,2.31,576,Fail,"Clear surface, very still, brown"
210223-LS,LS,Tuesday,Lake Sylvia,2021,21-02,23-Feb,21-02-23,Dry,2/23/2021,9:42 AM,2,2,2,W 5,,0,1.26,23.63,95.6,6.91,27.83,1.76,0.25,1,52,,"Plastic debris, vegetation and sargassum floating, pretty still, some sea foam, film on water. Sampled right after rain."
210223-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-02,23-Feb,21-02-23,Dry,2/23/2021,9:12 AM,3,2,4,SSW 8,0.05,0.05,1.3,24.06,81.2,6.13,18.79,0.4,0.24,0.97,41,,"Nothing on surface, good clarity, raining"
210223-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-02,23-Feb,21-02-23,Dry,2/23/2021,8:21 AM,1,2,3,SSW 5,0.05,0.05,1.3,24.21,81.3,6,22.3,0.92,0.15,0.59,52,,"Good flow, no debris on surface"
210223-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-02,23-Feb,21-02-23,Dry,2/23/2021,8:51 AM,3,2,3,SSW 5,0.05,0.05,1.3,24.27,86.8,6.29,25.37,0.63,0.17,0.69,20,,"Light film on surface, floating cocounut and vegetation, bubbles/foam"
210223-SBR,SBR,Tuesday,Sandbar,2021,21-02,23-Feb,21-02-23,Dry,2/23/2021,10:01 AM,2,2,3,WNW 6,,0,1.26,23.53,98.3,7.19,26.03,0.87,0.2,0.79,30,,"Floating vegetation, one small piece of sargassum, school of small fish"
210223-SWP,SWP,Tuesday,Sweeting Park,2021,21-02,23-Feb,21-02-23,Dry,2/23/2021,10:50 AM,1,4,3,WNW 8,,0,1.26,24.1,77.3,6.47,0.8,2.56,4.32,17.29,450,Fail,"Swarming bugs on water, parks and rec people on boat on shore, floating vegetation, sheen on water"
210223-TR,TR,Tuesday,Tarpon River,2021,21-02,23-Feb,21-02-23,Dry,2/23/2021,10:12 AM,2,2,3,WNW 6,,0,1.26,24.11,71.8,5.63,12.21,5.35,0.83,3.31,7701,Fail,"Floating vegetation, plastic debris, school of fish, slow moving"
210302-ABP,ABP,Tuesday,Annie Beck Park,2021,21-03,2-Mar,21-03-02,Dry,3/2/2021,10:55 AM,1,2,2,Var 4,,,0.15,26.55,88.9,6.33,21.58,0.83,0.29,1.16,52,,"Lots of leaves on water, brown water, plastic debris, high tide"
210302-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-03,2-Mar,21-03-02,Dry,3/2/2021,8:38 AM,1,3,3,,0,0,0,25.6,59.7,4.77,3.92,1.05,0.62,2.49,41,,"Some foam, one boat passed by, good clarity"
210302-HC,HC,Tuesday,Himmarshee Canal,2021,21-03,2-Mar,21-03-02,Dry,3/2/2021,10:33 AM,1,1,3,S 8,0,0,0,25.73,72.5,5.6,9.25,0.79,0.66,2.62,189,Fail,"Small floating vegetation, fish, low water movement, brown water, high tide"
210302-LS,LS,Tuesday,Lake Sylvia,2021,21-03,2-Mar,21-03-02,Dry,3/2/2021,9:40 AM,1,3,3,S 8,0,0,0,25.17,95.4,6.48,33.87,1.73,-0.14,-0.58,5,,"Surface is clear, blue-green"
210302-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-03,2-Mar,21-03-02,Dry,3/2/2021,9:36 AM,1,3,3,S 8,,,0.15,25.92,88.8,6.25,25.29,0.96,0.18,0.72,20,,"Coconut, small fish, floating sediment, no waves"
210302-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-03,2-Mar,21-03-02,Dry,3/2/2021,10:23 AM,1,1,3,S 8,,,0.15,25.99,83,5.99,20.57,0.91,0.32,1.28,10,,"Small floating vegetation, no wave action"
210302-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-03,2-Mar,21-03-02,Dry,3/2/2021,10:01 AM,1,1,2,S 8,,,0.15,25.74,93.1,6.52,26.91,1.1,0.18,0.71,10,,"Boat activity, bubbles in water"
210302-SBR,SBR,Tuesday,Sandbar,2021,21-03,2-Mar,21-03-02,Dry,3/2/2021,9:13 AM,1,3,4,S 8,0,0,0,25.6,98,6.76,29.8,0.88,0.04,0.19,31,,"Foam vegetation and debris, apple core, good clarity, small fish swimming"
210302-SWP,SWP,Tuesday,Sweeting Park,2021,21-03,2-Mar,21-03-02,Dry,3/2/2021,8:11 AM,1,3,2,,0,0,0,25.33,33.6,2.73,1.86,2.96,1.6,6.41,408,Fail,"Dead animal in water (caught in branches), leaves, insects on surface"
210302-TR,TR,Tuesday,Tarpon River,2021,21-03,2-Mar,21-03-02,Dry,3/2/2021,9:00 AM,1,3,1,SSW 5,0,0,0,25.47,70,5.42,10.01,1.04,0.47,1.87,20,,"Lots of film on surface (really gross), stagnant vegetation and debris, some plastic"
210309-ABP,ABP,Tuesday,Annie Beck Park,2021,21-03,9-Mar,21-03-09,Dry,3/9/2021,10:25 AM,1,2,2,ENE 17,,2.38,2.38,22.54,98.6,7.51,22.03,1.24,0.68,2.71,31,,"Some leaves and vegetation, windy"
210309-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-03,9-Mar,21-03-09,Dry,3/9/2021,10:06 AM,2,2,2,ENE 17 Gusts 26,0,1.85,1.85,22.7,82.1,6.7,9.78,42.36,1.16,4.63,63,,"Floating vegetation and coconuts, swift current, brown water, low tide"
210309-HC,HC,Tuesday,Himmarshee Canal,2021,21-03,9-Mar,21-03-09,Dry,3/9/2021,9:00 AM,2,2,3,E 18,0,1.85,1.85,22.36,62.1,4.84,18.58,2.06,0.29,1.15,313,Fail,"Brown, slow flow, floating leaves and twigs"
210309-LS,LS,Tuesday,Lake Sylvia,2021,21-03,9-Mar,21-03-09,Dry,3/9/2021,9:16 AM,2,2,2,E 18 Gusts 23,0,1.85,1.85,22.42,99.1,7.2,30.59,3.31,0.89,3.56,5,,"Swift current, nothing floating, low tide"
210309-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-03,9-Mar,21-03-09,Dry,3/9/2021,10:05 AM,2,2,3,ENE 17,,2.38,2.38,22.95,97.3,7.28,23.92,1.46,1.98,7.94,10,,"Surface clear, good clarity"
210309-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-03,9-Mar,21-03-09,Dry,3/9/2021,9:16 AM,2,2,3,E 18,,2.38,2.38,22.27,96.6,7.25,25.55,1.47,0.99,3.95,309,Fail,Some floating leaves and grass clippings
210309-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-03,9-Mar,21-03-09,Dry,3/9/2021,9:43 AM,1,2,3,E 18,,2.38,2.38,22.48,95.7,7.1,26.75,1.82,1.27,5.09,5,,"Lots of leaves and twigs, foam"
210309-SBR,SBR,Tuesday,Sandbar,2021,21-03,9-Mar,21-03-09,Dry,3/9/2021,9:37 AM,1,2,2,E 18 Gusts 23,0,1.85,1.85,21.71,103.8,7.71,29.02,2.05,1.57,6.26,52,,"Small sea foam, floating vegetation, low tide"
210309-SWP,SWP,Tuesday,Sweeting Park,2021,21-03,9-Mar,21-03-09,Dry,3/9/2021,10:27 AM,2,2,3,ENE 17 Gusts 26,0,1.85,1.85,21.74,66.9,5.81,2.02,1.66,2.15,8.59,31,,"Fisherman, 6 birds, floating vegetation, low tide"
210309-TR,TR,Tuesday,Tarpon River,2021,21-03,9-Mar,21-03-09,Dry,3/9/2021,9:46 AM,2,2,2,E 18 Gusts 23,0,1.85,1.85,21.59,92.2,7.34,17.37,2.09,0.48,1.92,132,Fail,"No film, floating vegetation, slow moving, river current looks much faster, low tide"
210316-ABP,ABP,Tuesday,Annie Beck Park,2021,21-03,16-Mar,21-03-16,Dry,3/16/2021,9:27 AM,1,3,3,NA,0,0,0.33,24.53,92.4,6.64,25.94,1.14,0.59,2.34,10,,"Floating leaves and vegetation, construction upstream, *Phone not working, no air temp data, wind data, or pictures*"
210316-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-03,16-Mar,21-03-16,Dry,3/16/2021,11:25 AM,1,2,3,SE 14,0,0,0.08,24.5,90.9,6.81,18.97,1.68,1.29,5.07,160,Fail,"Boat activity, plastic garbage, floating vegetation, slightly brown water"
210316-HC,HC,Tuesday,Himmarshee Canal,2021,21-03,16-Mar,21-03-16,Dry,3/16/2021,7:50 AM,1,3,2,NA,0,0,0.08,24.11,87.1,6.48,21.27,1.1,1.61,6.43,295,Fail,"Film on surface, some floating debris, caution tape hanging in water, fish school, low water level. *Phone not working, no air temp data, wind data, or pictures*"
210316-LS,LS,Tuesday,Lake Sylvia,2021,21-03,16-Mar,21-03-16,Dry,3/16/2021,10:07 AM,2,3,3,SSE 17,0,0,0.08,24.82,97.3,6.63,34.39,1.45,0.03,0.11,10,,"People fishing from boat, bugs on water surface, windy, fishy smell (maybe from fishing boat)"
210316-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-03,16-Mar,21-03-16,Dry,3/16/2021,9:07 AM,1,3,2,NA,0,0,0.33,24.48,88.8,6.34,27.45,1.3,0.2,0.79,10,,"Some particulate film, good clarity, calm, *Phone not working, no air temp data, wind data, or pictures*"
210316-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-03,16-Mar,21-03-16,Dry,3/16/2021,8:10 AM,1,3,2,NA,0,0,0.33,24.42,88.5,6.26,29.18,2.22,0.24,0.96,52,,"Insects on surface, slight smell with change in wind direction *Phone not working, no air temp data, wind data, or pictures*"
